                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3533,                 3.3541,                 2.1437,                0.01154,                 0.7438,                0.13734,                0.05936,                 2.0344,                 3.1721,                 2.1123,                 0.0001,                 0.0001,                 0.0001
                      2,                 2.2455,                 3.0094,                 2.0054,                0.01397,                0.90083,                0.18774,                0.07467,                  2.004,                 3.0586,                 1.9729,             0.00021782,             0.00021782,             0.00021782
                      3,                 2.1325,                 2.5029,                 1.8434,                0.01436,                0.92562,                0.16302,                0.06607,                  2.089,                 3.0425,                  1.974,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.9722,                 2.3184,                 1.6974,                0.01423,                0.91736,                0.15958,                0.06103,                 2.0396,                 2.9961,                 1.9278,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.9639,                 2.4019,                   1.69,                0.01397,                0.90083,                0.23516,                0.07847,                 2.1237,                 2.9833,                 1.9986,             0.00055703,             0.00055703,             0.00055703
                      6,                 2.0324,                 2.1212,                 1.6319,                0.45371,                0.04814,                0.18218,                0.06979,                 2.1547,                  3.002,                 2.1003,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.9893,                 2.1759,                 1.6997,                 0.4358,                0.03306,                0.16453,                0.06211,                 2.2869,                 2.9554,                 2.1473,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.8853,                 2.2053,                 1.6514,                0.42951,                 0.1405,                0.23603,                0.08377,                 2.1669,                 2.6127,                 2.0023,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.8942,                 2.3016,                 1.6797,                0.38925,                0.24793,                0.24011,                0.08338,                  2.125,                 2.5649,                 1.9829,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.9241,                 2.1373,                 1.6814,                0.33666,                0.33058,                0.25629,                0.08472,                 2.1405,                 2.4711,                 2.0685,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.8873,                 2.0923,                 1.6579,                0.34905,                0.21488,                0.19144,                0.06518,                 2.2103,                 2.5345,                 2.0939,              0.0011713,              0.0011713,              0.0011713
                     12,                  1.988,                 2.0813,                 1.6419,                0.26679,                0.30374,                0.22198,                 0.0685,                 2.2039,                 2.5325,                 2.1701,              0.0012654,              0.0012654,              0.0012654
                     13,                 1.9435,                 1.9275,                 1.6427,                0.18541,                0.38017,                0.15512,                0.05424,                 2.3484,                 2.6776,                 2.4659,               0.001357,               0.001357,               0.001357
                     14,                 1.9506,                 2.0827,                 1.6591,                0.10782,                0.28926,                0.09495,                0.03343,                 2.3937,                 3.1491,                 2.5629,              0.0014464,              0.0014464,              0.0014464
                     15,                 1.9583,                   1.98,                 1.6263,                0.24236,                0.23967,                  0.146,                0.04549,                 2.2987,                 2.8927,                 2.4458,              0.0015333,              0.0015333,              0.0015333
                     16,                 1.9768,                  2.098,                 1.6634,                0.21934,                0.24793,                0.13704,                0.04432,                 2.3777,                 2.7511,                 2.5065,              0.0016179,              0.0016179,              0.0016179
                     17,                 1.8409,                 2.0294,                 1.5966,                0.16716,                0.45455,                0.17085,                0.07022,                 2.2627,                 2.7902,                 2.3778,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.8925,                 2.0143,                 1.6474,                0.09718,                0.42149,                0.10614,                0.04001,                 2.3152,                 4.2957,                 2.3801,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.8269,                 1.9357,                 1.5696,                0.15966,                0.18182,                0.12593,                0.04327,                 2.3194,                 3.7819,                 2.3493,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.7975,                 2.0209,                 1.6078,                0.28022,                0.35537,                0.27058,                0.10119,                  2.267,                 2.7169,                  2.193,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.8744,                   1.92,                 1.6113,                0.30546,                0.32231,                0.26155,                0.09568,                 2.3412,                 2.7866,                 2.3117,               0.001604,               0.001604,               0.001604
                     22,                 1.8664,                 1.9606,                 1.6135,                0.28881,                0.47934,                0.31495,                0.10847,                 2.3081,                 2.4527,                 2.3358,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8943,                 1.8629,                 1.6394,                0.33908,                0.38017,                 0.3145,                0.10752,                 2.3639,                 2.4073,                 2.4294,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8156,                   1.92,                 1.5841,                0.33548,                0.61983,                0.35405,                0.12285,                 2.3703,                 2.3359,                 2.3851,              0.0015446,              0.0015446,              0.0015446
                     25,                  1.846,                 1.8346,                 1.5803,                0.35497,                0.61157,                0.36645,                0.13157,                 2.2982,                 2.1706,                 2.2887,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.8916,                 1.9252,                 1.5816,                 0.3633,                 0.4876,                0.29634,                0.09633,                 2.4364,                 2.3043,                 2.4681,               0.001505,               0.001505,               0.001505
